word,language,meaning
serendipity,English,a fortunate and unexpected discovery
ephemeral,English,lasting for a very short time
melancholy,English,a deep and pensive sadness
ethereal,English,extremely delicate and light
luminous,English,full of or shedding light
solitude,English,the state of being alone
nostalgia,English,a sentimental longing for the past
eloquence,English,fluent and persuasive expression
tranquility,English,a state of peace and calm
resilience,English,the ability to recover quickly
ineffable,English,too great to be expressed in words
sonder,English,the realization that others have complex lives
labyrinth,English,a complicated maze or network
zenith,English,the highest point or peak
euphoria,English,intense happiness and excitement
wistful,English,a feeling of vague longing
reverie,English,a state of being pleasantly lost in thoughts
yearning,English,a deep longing or desire
ardor,English,intense passion or enthusiasm
solace,English,comfort in times of distress
इबादत,Hindi,ईश्वर की सच्चे मन से की गई पूजा
मुकम्मल,Hindi,जो पूरी तरह से पूरा हो
रंजिश,Hindi,मन में बैठी हुई कड़वाहट या शिकायत
खामोशी,Hindi,पूर्ण शांति या बिना आवाज की स्थिति
तसव्वुर,Hindi,कल्पना या मन में बनाई गई तस्वीर
हसरत,Hindi,अधूरी इच्छा या लालसा
जुनून,Hindi,किसी चीज़ के लिए अत्यधिक लगाव
रूह,Hindi,आत्मा या आत्मिक अस्तित्व
मोहब्बत,Hindi,गहरा प्रेम या स्नेह
अंदाज़,Hindi,किसी चीज़ को व्यक्त करने का तरीका
तन्हाई,Hindi,अकेलेपन की भावना
नज़्म,Hindi,साहित्यिक कविता का एक रूप
फ़साना,Hindi,कहानी या दास्तान
ख्वाब,Hindi,सपना या स्वप्न
इंतज़ार,Hindi,किसी की प्रतीक्षा करना
सुकून,Hindi,मन की शांति
ज़िंदगी,Hindi,जीवन का अस्तित्व
गुज़ारिश,Hindi,विनम्र निवेदन
आशियाना,Hindi,रहने का स्थान या घर
दिलनशीं,Hindi,जो दिल को भा जाए
आर्तता,Marathi,अत्यंत गहरी वेदना या पुकार
निखळ,Marathi,पूर्णतः शुद्ध और सच्चा
विरह,Marathi,प्रिय व्यक्ति से दूर होने का दुःख
मोहिनी,Marathi,आकर्षण उत्पन्न करने वाली शक्ति
स्पंदन,Marathi,हलचल या धड़कन
आकांक्षा,Marathi,कुछ पाने की तीव्र इच्छा
भावविश्व,Marathi,भावनाओं की दुनिया
मनस्वी,Marathi,स्वाभिमानी और दृढ़ व्यक्तित्व वाला
निरागस,Marathi,भोला और निष्कपट
चैतन्य,Marathi,जीवन शक्ति या चेतना
सांजवेळ,Marathi,संध्या का समय
गंध,Marathi,सुगंध या खुशबू
स्वप्निल,Marathi,सपनों जैसा या काल्पनिक
वेदना,Marathi,दर्द या पीड़ा
अंतरंग,Marathi,भीतरी भावनाएं या निजी पक्ष
अनुराग,Marathi,गहरा स्नेह या प्रेम
ओढ,Marathi,किसी के प्रति आकर्षण
भावस्पर्शी,Marathi,जो दिल को छू जाए
नाद,Marathi,ध्वनि या संगीत की गूंज
उमेद,Marathi,आशा या उम्मीद
அழகியம்,Tamil,அழகும் இனிமையும் கொண்ட தன்மை
உணர்வு,Tamil,மனதில் ஏற்படும் உணர்ச்சி
பருவம்,Tamil,கால கட்டம் அல்லது நிலை
மௌனம்,Tamil,அமைதியான நிலை
நினைவு,Tamil,மனதில் நிலைக்கும் நினைச்சல்
இனிமை,Tamil,இனிய தன்மை அல்லது சுகம்
ஆர்வம்,Tamil,உற்சாகமான விருப்பம்
துன்பம்,Tamil,வலி அல்லது துயரம்
கனவு,Tamil,தூக்கத்தில் காணும் காட்சி அல்லது ஆசை
அன்பு,Tamil,அன்பும் பாசமும் கொண்ட உணர்வு
உறவு,Tamil,மனிதர்களுக்கிடையிலான தொடர்பு
தனிமை,Tamil,தனியாக இருப்பது
நெஞ்சம்,Tamil,இதயம் அல்லது மனம்
மயக்கம்,Tamil,மயங்கும் நிலை அல்லது குழப்பம்
ஆழம்,Tamil,ஆழ்ந்த தன்மை
இசைவு,Tamil,ஒத்திசைவு அல்லது இணக்கம்
காதல்,Tamil,அன்பு மற்றும் ஈர்ப்பு
অভিমান,Bengali,প্রিয়জনের প্রতি মনের কষ্ট
নির্জন,Bengali,একাকী ও নিঃসঙ্গ স্থান
মায়া,Bengali,ভ্রম বা গভীর স্নেহ
আকাঙ্ক্ষা,Bengali,কিছু পাওয়ার তীব্র ইচ্ছা
অনুরাগ,Bengali,গভীর ভালোবাসা
বেদনা,Bengali,মানসিক বা শারীরিক কষ্ট
স্মৃতি,Bengali,অতীতের মনে থাকা ঘটনা
স্বপ্ন,Bengali,ঘুমের মধ্যে দেখা কল্পনা
অন্তর,Bengali,মনের ভেতরের অংশ
প্রেম,Bengali,ভালোবাসা
নিঃসঙ্গতা,Bengali,একাকীত্বের অনুভূতি
আবেগ,Bengali,তীব্র অনুভূতি
উপলব্ধি,Bengali,বুঝতে পারা বা উপলব্ধ করা
মুগ্ধতা,Bengali,মোহিত হওয়ার অবস্থা
অভিলাষ,Bengali,কোনো কিছুর আকাঙ্ক্ষা
আলোড়ন,Bengali,মনের মধ্যে সঞ্চালন
নিভৃত,Bengali,নিরিবিলি ও শান্ত স্থান
আশ্রয়,Bengali,সুরক্ষা বা থাকার জায়গা
বিস্ময়,Bengali,অবাক হওয়ার অনুভূতি
চেতনা,Bengali,সচেতনতা বা জ্ঞান
